"";"city";"country";"type";"name";"lat";"lon"
"422";"Asahikawa";"Japan";"epoch";"Asahikawa";"43.758203";"142.371544"
"423";"Chiba";"Japan";"epoch";"Chiba";"35.549399";"140.2647303"
"424";"Fukui";"Japan";"epoch";"Fukui";"35.9263502";"136.6068127"
"425";"Funabashi";"Japan";"epoch";"Funabashi";"35.699997";"139.988668"
"426";"Gifu";"Japan";"epoch";"Gifu";"35.7867449";"137.0460777"
"427";"Hachioji";"Japan";"epoch";"Hachioji";"35.660175";"139.283071"
"428";"Hakodate";"Japan";"epoch";"Hakodate";"41.768793";"140.729008"
"429";"Hamamatsu";"Japan";"epoch";"Hamamatsu";"34.7109786";"137.7259431"
"430";"Himeji";"Japan";"epoch";"Himeji";"34.8153529";"134.6854793"
"431";"Kagoshima";"Japan";"epoch";"Kagoshima";"31.521587";"130.5474077"
"432";"Kanazawa";"Japan";"epoch";"Kanazawa";"36.561627";"136.6568822"
"433";"Kawaguchi";"Japan";"epoch";"Kawaguchi";"35.8078228";"139.7241054"
"434";"Kawasaki";"Japan";"epoch";"Kawasaki";"35.523142";"139.708024"
"435";"Kochi";"Japan";"epoch";"Kochi";"33.6569018";"133.5606241"
"436";"Kumamoto";"Japan";"epoch";"Kumamoto";"32.6450475";"130.6341345"
"437";"Kurashiki";"Japan";"epoch";"Kurashiki";"34.5850791";"133.7719957"
"438";"Maebashi";"Japan";"epoch";"Maebashi";"36.3893418";"139.0632826"
"440";"Matsuyama";"Japan";"epoch";"Matsuyama";"33.8395188";"132.7653521"
"441";"Muroran";"Japan";"epoch";"Muroran";"42.3152461";"140.9740731"
"442";"Nagano";"Japan";"epoch";"Nagano";"36.1143945";"138.0319015"
"443";"Niigata";"Japan";"epoch";"Niigata";"37.6452283";"138.7669125"
"444";"Okayama";"Japan";"epoch";"Okayama";"34.8581334";"133.7759256"
"445";"Omuta";"Japan";"epoch";"Omuta";"33.0299874";"130.4433467"
"448";"Sasebo";"Japan";"epoch";"Sasebo";"33.1799965";"129.7152872"
"449";"Shizuoka";"Japan";"epoch";"Shizuoka";"34.9332488";"138.0955398"
"450";"Takamatsu";"Japan";"epoch";"Takamatsu";"34.3425592";"134.0465338"
"451";"Tokushima";"Japan";"epoch";"Tokushima";"33.9196418";"134.2509634"
"452";"Toyama";"Japan";"epoch";"Toyama";"36.6957569";"137.2136215"
"453";"Toyohashi";"Japan";"epoch";"Toyohashi";"34.769123";"137.391461"
"454";"Tsu";"Japan";"epoch";"Tsu";"34.7341973";"136.5153283"
"455";"Utsunomiya";"Japan";"epoch";"Utsunomiya";"36.5549677";"139.8828776"
"456";"Wakayama";"Japan";"epoch";"Wakayama";"33.8070292";"135.5930743"
"457";"Yokkaichi";"Japan";"epoch";"Yokkaichi";"34.9648428";"136.624845"
"465";"Akron";"USA";"epoch";"Akron";"41.083064";"-81.518485"
"466";"Albany";"USA";"epoch";"Albany";"42.6511674";"-73.754968"
"468";"Allentown";"USA";"epoch";"Allentown";"40.6022059";"-75.4712794"
"471";"Arlington";"USA";"epoch";"Arlington";"32.701939";"-97.10562483"
"472";"Atlanta";"USA";"epoch";"Atlanta";"33.7490987";"-84.3901849"
"474";"Austin";"USA";"epoch";"Austin";"30.2711286";"-97.7436995"
"476";"Baltimore";"USA";"epoch";"Baltimore";"39.2847494";"-76.62047464"
"477";"Baton Rouge";"USA";"epoch";"Baton Rouge";"30.4459596";"-91.18738"
"353";"Birmingham";"USA";"epoch";"Birmingham";"52.51213812";"-1.965490369"
"479";"Boston";"USA";"epoch";"Boston";"42.3602534";"-71.0582912"
"480";"Bridgeport";"USA";"epoch";"Bridgeport";"41.1670412";"-73.2048348"
"481";"Buffalo";"USA";"epoch";"Buffalo";"42.8867166";"-78.8783922"
"483";"Charlotte";"USA";"epoch";"Charlotte";"35.2270869";"-80.8431268"
"484";"Chattanooga";"USA";"epoch";"Chattanooga";"35.0456297";"-85.3096801"
"485";"Cincinnati";"USA";"epoch";"Cincinnati";"39.1014537";"-84.5124602"
"486";"Cleveland";"USA";"epoch";"Cleveland";"41.5051613";"-81.6934446"
"488";"Columbus";"USA";"epoch";"Columbus";"39.9622601";"-83.0007065"
"489";"Corpus Christi";"USA";"epoch";"Corpus Christi";"27.8002542";"-97.3955744"
"490";"Dallas";"USA";"epoch";"Dallas";"32.7762719";"-96.7968559"
"491";"Dayton";"USA";"epoch";"Dayton";"39.7589478";"-84.1916069"
"492";"Denver";"USA";"epoch";"Denver";"39.7392364";"-104.9848623"
"493";"Des Moines";"USA";"epoch";"Des Moines";"41.5910641";"-93.6037149"
"494";"El Paso";"USA";"epoch";"El Paso";"31.7600372";"-106.487287"
"495";"Elizabeth";"USA";"epoch";"Elizabeth";"40.6639916";"-74.2107006"
"496";"Erie";"USA";"epoch";"Erie";"42.1294712";"-80.0852695"
"497";"Evansville";"USA";"epoch";"Evansville";"37.9747645";"-87.5558483"
"498";"Flint";"USA";"epoch";"Flint";"43.0171773";"-83.7236024"
"499";"Fort Wayne";"USA";"epoch";"Fort Wayne";"41.0799898";"-85.1386015"
"500";"Fort Worth";"USA";"epoch";"Fort Worth";"32.753177";"-97.3327459"
"502";"Gary";"USA";"epoch";"Gary";"41.6021292";"-87.3371372"
"503";"Grand Rapids";"USA";"epoch";"Grand Rapids";"42.9632405";"-85.6678639"
"505";"Honolulu";"USA";"epoch";"Honolulu";"21.304547";"-157.8556764"
"506";"Indianapolis";"USA";"epoch";"Indianapolis";"39.7683331";"-86.1583502"
"508";"Jacksonville";"USA";"epoch";"Jacksonville";"30.3321838";"-81.655651"
"509";"Jersey City";"USA";"epoch";"Jersey City";"40.7281575";"-74.0776417"
"510";"Kansas City";"USA";"epoch";"Kansas City";"39.100105";"-94.5781416"
"511";"Knoxville";"USA";"epoch";"Knoxville";"35.9603948";"-83.9210261"
"514";"Lincoln";"USA";"epoch";"Lincoln";"40.8";"-96.667821"
"515";"Long Beach";"USA";"epoch";"Long Beach";"33.7690164";"-118.1916048"
"516";"Louisville";"USA";"epoch";"Louisville";"38.2542376";"-85.759407"
"520";"Memphis";"USA";"epoch";"Memphis";"35.1490215";"-90.0516285"
"521";"Miami";"USA";"epoch";"Miami";"25.7742658";"-80.1936589"
"522";"Milwaukee";"USA";"epoch";"Milwaukee";"43.0349931";"-87.922497"
"523";"Minneapolis";"USA";"epoch";"Minneapolis";"44.9706705";"-93.26821774"
"524";"Mobile";"USA";"epoch";"Mobile";"30.6943566";"-88.0430541"
"525";"Montgomery";"USA";"epoch";"Montgomery";"32.3669656";"-86.3006485"
"526";"Nashville-Davidson";"USA";"epoch";"Nashville-Davidson";"36.1622296";"-86.7743531"
"527";"New Haven";"USA";"epoch";"New Haven";"41.3082138";"-72.9250518"
"528";"New Orleans";"USA";"epoch";"New Orleans";"29.9499323";"-90.0701156"
"529";"Newark";"USA";"epoch";"Newark";"40.735657";"-74.1723667"
"530";"Norfolk";"USA";"epoch";"Norfolk";"36.8889933";"-76.2481624"
"531";"Oakland";"USA";"epoch";"Oakland";"37.8044557";"-122.2713563"
"532";"Oklahoma City";"USA";"epoch";"Oklahoma City";"35.4729886";"-97.5170536"
"533";"Omaha";"USA";"epoch";"Omaha";"41.2587459";"-95.9383758"
"534";"Paterson";"USA";"epoch";"Paterson";"40.9167654";"-74.171811"
"535";"Peoria";"USA";"epoch";"Peoria";"40.6938609";"-89.5891008"
"536";"Phoenix";"USA";"epoch";"Phoenix";"33.4485866";"-112.0773456"
"537";"Pittsburgh";"USA";"epoch";"Pittsburgh";"40.4416941";"-79.9900861"
"539";"Portland";"USA";"epoch";"Portland";"45.5202471";"-122.6741949"
"540";"Providence";"USA";"epoch";"Providence";"41.8239891";"-71.4128343"
"56";"Richmond";"USA";"epoch";"Richmond";"49.163168";"-123.137414"
"542";"Rochester";"USA";"epoch";"Rochester";"43.157285";"-77.615214"
"543";"Rockford";"USA";"epoch";"Rockford";"42.2713945";"-89.093966"
"544";"Sacramento";"USA";"epoch";"Sacramento";"38.5815719";"-121.4943996"
"545";"Saint Paul";"USA";"epoch";"Saint Paul";"44.9504037";"-93.1015026"
"547";"Salt Lake City";"USA";"epoch";"Salt Lake City";"40.7670126";"-111.8904308"
"548";"San Antonio";"USA";"epoch";"San Antonio";"29.4246002";"-98.4951405"
"549";"San Diego";"USA";"epoch";"San Diego";"32.7174209";"-117.1627714"
"550";"San Francisco";"USA";"epoch";"San Francisco";"37.7792808";"-122.4192363"
"551";"San Jose";"USA";"epoch";"San Jose";"37.3361905";"-121.8905833"
"553";"Savannah";"USA";"epoch";"Savannah";"32.0809263";"-81.0911768"
"554";"Seattle";"USA";"epoch";"Seattle";"47.6038321";"-122.3300624"
"555";"Shreveport";"USA";"epoch";"Shreveport";"32.5221828";"-93.7651944"
"556";"South Bend";"USA";"epoch";"South Bend";"41.6833813";"-86.2500066"
"557";"Spokane";"USA";"epoch";"Spokane";"47.6579425";"-117.4212265"
"558";"Springfield";"USA";"epoch";"Springfield";"39.7990175";"-89.6439575"
"559";"Syracuse";"USA";"epoch";"Syracuse";"43.0481221";"-76.1474244"
"560";"Tacoma";"USA";"epoch";"Tacoma";"47.2495798";"-122.4398746"
"561";"Tampa";"USA";"epoch";"Tampa";"27.9477595";"-82.458444"
"166.1";"Toledo";"USA";"epoch";"Toledo";"39.8560679";"-4.0239568"
"564";"Tulsa";"USA";"epoch";"Tulsa";"36.1556805";"-95.9929113"
"566";"Washington";"USA";"epoch";"Washington";"38.8948932";"-77.0365529"
"567";"Wichita";"USA";"epoch";"Wichita";"37.6922361";"-97.3375448"
"568";"Worcester";"USA";"epoch";"Worcester";"42.2625932";"-71.8022934"
"569";"Yonkers";"USA";"epoch";"Yonkers";"40.9312099";"-73.8987469"
"570";"Youngstown";"USA";"epoch";"Youngstown";"41.1035786";"-80.6520161"
"363";"Aberdeen";"UK";"epoch";"Aberdeen";"57.1482429";"-2.0928095"
"364";"Barnsley";"UK";"epoch";"Barnsley";"53.5527719";"-1.4827755"
"365";"Bath";"UK";"epoch";"Bath";"51.3813864";"-2.3596963"
"366";"Birkenhead";"UK";"epoch";"Birkenhead";"53.3943509";"-3.0191569"
"367";"Blackburn";"UK";"epoch";"Blackburn";"53.749326";"-2.4840566"
"368";"Brighton";"UK";"epoch";"Brighton";"50.8220399";"-0.1374061"
"370";"Cardiff";"UK";"epoch";"Cardiff";"51.4816546";"-3.1791934"
"371";"Coventry";"UK";"epoch";"Coventry";"52.4081812";"-1.510477"
"372";"Darlington";"UK";"epoch";"Darlington";"54.53525645";"-1.552942975"
"373";"Derby";"UK";"epoch";"Derby";"52.9212617";"-1.4761491"
"374";"Doncaster";"UK";"epoch";"Doncaster";"53.5227681";"-1.1335312"
"375";"Dudley";"UK";"epoch";"Dudley";"52.5110832";"-2.0816813"
"376";"Dundee";"UK";"epoch";"Dundee";"56.4605938";"-2.97019"
"28.1";"Halifax";"UK";"epoch";"Halifax";"44.8543667";"-63.137798"
"378";"Hartlepool";"UK";"epoch";"Hartlepool";"54.6857276";"-1.2093696"
"379";"Huddersfield";"UK";"epoch";"Huddersfield";"53.6466645";"-1.7822482"
"30.1";"Hull";"UK";"epoch";"Hull";"45.4371637";"-75.7241942"
"382";"Leicester";"UK";"epoch";"Leicester";"52.6361398";"-1.1330789"
"383";"Luton";"UK";"epoch";"Luton";"51.89107295";"-0.423030408"
"384";"Middlesbrough";"UK";"epoch";"Middlesbrough";"54.5461946";"-1.235830489"
"385";"Newcastle-upon-Tyne";"UK";"epoch";"Newcastle-upon-Tyne";"54.9738474";"-1.6131572"
"387";"Norwich";"UK";"epoch";"Norwich";"52.628606";"1.29227"
"388";"Nottingham";"UK";"epoch";"Nottingham";"52.9534193";"-1.1496461"
"389";"Oldbury and Smethwick";"UK";"epoch";"Oldbury and Smethwick";"52.5012103";"-1.9796525"
"390";"Plymouth";"UK";"epoch";"Plymouth";"50.3712659";"-4.1425658"
"391";"Poole";"UK";"epoch";"Poole";"50.74018055";"-1.953773835"
"392";"Portsmouth";"UK";"epoch";"Portsmouth";"50.8036831";"-1.075614"
"393";"Preston";"UK";"epoch";"Preston";"53.7593363";"-2.6992717"
"394";"Rhondda";"UK";"epoch";"Rhondda";"50.19383355";"-5.42349135"
"395";"Rotherham";"UK";"epoch";"Rotherham";"53.4310417";"-1.355187"
"398";"South Shields";"UK";"epoch";"South Shields";"54.9987414";"-1.4321848"
"399";"Southampton";"UK";"epoch";"Southampton";"50.9137978";"-1.399040483"
"400";"Southend-on-Sea";"UK";"epoch";"Southend-on-Sea";"51.54063195";"0.716114673"
"401";"Stoke-on-Trent";"UK";"epoch";"Stoke-on-Trent";"53.0162014";"-2.1812607"
"402";"Sunderland";"UK";"epoch";"Sunderland";"54.9063791";"-1.375053"
"403";"Swansea";"UK";"epoch";"Swansea";"51.6195955";"-3.9459248"
"404";"Wakefield";"UK";"epoch";"Wakefield";"53.6829541";"-1.4967286"
"405";"Walsall";"UK";"epoch";"Walsall";"52.5847949";"-1.9822687"
"407";"Wolverhampton";"UK";"epoch";"Wolverhampton";"52.5847651";"-2.127567"
"679";"Almaty";"Soviet";"epoch";"Almaty";"43.25";"76.95"
"680";"Astrakhan";"Soviet";"epoch";"Astrakhan";"46.35";"48.03333333"
"681";"Babruisk";"Soviet";"epoch";"Babruisk";"53.15";"29.23"
"682";"Baku";"Soviet";"epoch";"Baku";"40.4";"49.88"
"NA";"Bar0ul";"Soviet";"epoch";NA;NA;NA
"685";"Bishkek";"Soviet";"epoch";"Bishkek";"42.87";"74.6"
"687";"Chelyabinsk";"Soviet";"epoch";"Chelyabinsk";"55.15";"61.4"
"688";"Chernivtsi";"Soviet";"epoch";"Chernivtsi";"48.3";"25.93"
"NA.1";"Chisi0u";"Soviet";"epoch";NA;NA;NA
"690";"Chita";"Soviet";"epoch";"Chita";"52.03333333";"113.5"
"692";"Dniepropetrovsk";"Soviet";"epoch";"Dniepropetrovsk";"48.45";"34.98"
"693";"Donetsk";"Soviet";"epoch";"Donetsk";"48";"37.8"
"694";"Dushambe";"Soviet";"epoch";"Dushambe";"38.56";"68.77"
"695";"Ekaterinburg";"Soviet";"epoch";"Ekaterinburg";"56.83333333";"60.58333333"
"696";"Erevan";"Soviet";"epoch";"Erevan";"40.18";"44.51"
"698";"Gomel";"Soviet";"epoch";"Gomel";"52.44";"30.98"
"699";"Gorlivka";"Soviet";"epoch";"Gorlivka";"48.3";"38.05"
"NA.2";"Grod0";"Soviet";"epoch";NA;NA;NA
"701";"Irkutsk";"Soviet";"epoch";"Irkutsk";"52.28333333";"104.3"
"703";"Izhevsk";"Soviet";"epoch";"Izhevsk";"56.85";"53.21666667"
"704";"Kaliningrad";"Soviet";"epoch";"Kaliningrad";"54.71666667";"20.5"
"705";"Kaluga";"Soviet";"epoch";"Kaluga";"54.51666667";"36.26666667"
"706";"Karagandy";"Soviet";"epoch";"Karagandy";"49.8";"73.1"
"NA.3";"Kau0s";"Soviet";"epoch";NA;NA;NA
"669";"Kazan";"Soviet";"epoch";"Kazan";"55.78333333";"49.11666667"
"710";"Khabarovsk";"Soviet";"epoch";"Khabarovsk";"48.48333333";"135.0666667"
"670";"Kharkiv";"Soviet";"epoch";"Kharkiv";"50";"36.25"
"712";"Kherson";"Soviet";"epoch";"Kherson";"46.63";"32.6"
"671";"Kiiv";"Soviet";"epoch";"Kiiv";"50.43";"30.52"
"714";"Kirov";"Soviet";"epoch";"Kirov";"58.6";"49.65"
"717";"Kramatorsk";"Soviet";"epoch";"Kramatorsk";"48.72";"37.53"
"718";"Krasnodar";"Soviet";"epoch";"Krasnodar";"45.03333333";"38.98333333"
"719";"Krasnoyarsk";"Soviet";"epoch";"Krasnoyarsk";"56";"92.93333333"
"720";"Krivii Rig";"Soviet";"epoch";"Krivii Rig";"47.92";"33.35"
"721";"Kursk";"Soviet";"epoch";"Kursk";"51.71666667";"36.18333333"
"723";"Lipetsk";"Soviet";"epoch";"Lipetsk";"52.61666667";"39.6"
"724";"Lviv";"Soviet";"epoch";"Lviv";"49.84";"24.03"
"725";"Mahachkala";"Soviet";"epoch";"Mahachkala";"42.98333333";"47.48333333"
"726";"Mikolaiv";"Soviet";"epoch";"Mikolaiv";"49.52";"23.98"
"727";"Minsk";"Soviet";"epoch";"Minsk";"53.9";"27.57"
"728";"Mogilev";"Soviet";"epoch";"Mogilev";"53.91";"30.34"
"729";"Murmansk";"Soviet";"epoch";"Murmansk";"68.96666667";"33.08333333"
"673";"Nizhni-Novgorod";"Soviet";"epoch";"Nizhni-Novgorod";"56.31666667";"44"
"732";"Nizhni-Tagil";"Soviet";"epoch";"Nizhni-Tagil";"57.91666667";"59.96666667"
"733";"Novokuznetsk";"Soviet";"epoch";"Novokuznetsk";"53.75";"87.11666667"
"734";"Novomoskovsk";"Soviet";"epoch";"Novomoskovsk";"54.03333333";"38.26666667"
"674";"Novosibirsk";"Soviet";"epoch";"Novosibirsk";"55.03333333";"82.91666667"
"675";"Odesa";"Soviet";"epoch";"Odesa";"46.47";"30.73"
"738";"Omsk";"Soviet";"epoch";"Omsk";"54.96666667";"73.38333333"
"739";"Orel";"Soviet";"epoch";"Orel";"52.96666667";"36.08333333"
"740";"Penza";"Soviet";"epoch";"Penza";"53.2";"45.01666667"
"741";"Perm";"Soviet";"epoch";"Perm";"58";"56.25"
"742";"Poltava";"Soviet";"epoch";"Poltava";"49.58";"34.57"
"743";"Pyatigorsk";"Soviet";"epoch";"Pyatigorsk";"44.03333333";"43.05"
"676";"Riga";"Soviet";"epoch";"Riga";"56.95";"24.1"
"745";"Rostov-on-Don";"Soviet";"epoch";"Rostov-on-Don";"47.23333333";"39.71666667"
"746";"Ryazan";"Soviet";"epoch";"Ryazan";"54.61666667";"39.71666667"
"747";"Samara";"Soviet";"epoch";"Samara";"53.18333333";"50.11666667"
"748";"Samarkand";"Soviet";"epoch";"Samarkand";"39.65";"66.96"
"678";"Saratov";"Soviet";"epoch";"Saratov";"51.53333333";"46"
"750";"Sevastopol";"Soviet";"epoch";"Sevastopol";"44.6";"33.53"
"752";"Tallinn";"Soviet";"epoch";"Tallinn";"59.43333333";"24.75"
"753";"Tambov";"Soviet";"epoch";"Tambov";"52.71666667";"41.43333333"
"755";"Tashkent";"Soviet";"epoch";"Tashkent";"41.32";"69.25"
"756";"Tbilisi";"Soviet";"epoch";"Tbilisi";"41.73";"44.79"
"757";"Tiraspol";"Soviet";"epoch";"Tiraspol";"46.84";"29.64"
"758";"Toljatti";"Soviet";"epoch";"Toljatti";"53.51666667";"49.41666667"
"759";"Tomsk";"Soviet";"epoch";"Tomsk";"56.5";"84.96666667"
"760";"Tula";"Soviet";"epoch";"Tula";"54.2";"37.61666667"
"761";"Tver";"Soviet";"epoch";"Tver";"56.86666667";"35.9"
"762";"Ufa";"Soviet";"epoch";"Ufa";"54.73333333";"55.96666667"
"763";"Ulianovsk";"Soviet";"epoch";"Ulianovsk";"54.31666667";"48.38333333"
"764";"Vilnius";"Soviet";"epoch";"Vilnius";"54.68";"25.32"
"766";"Vitebsk";"Soviet";"epoch";"Vitebsk";"55.19";"30.19"
"767";"Vladivostok";"Soviet";"epoch";"Vladivostok";"43.11666667";"131.9"
"768";"Volgograd";"Soviet";"epoch";"Volgograd";"48.7";"44.48333333"
"770";"Vologda";"Soviet";"epoch";"Vologda";"59.21666667";"39.9"
"771";"Voronezh";"Soviet";"epoch";"Voronezh";"51.66666667";"39.18333333"
"772";"Yaroslavl";"Soviet";"epoch";"Yaroslavl";"57.63333333";"39.86666667"
"773";"Zaporizhzha";"Soviet";"epoch";"Zaporizhzha";"47.82";"35.18"
